CONSTANTE	      CODIGO  M
SA                  1     1     
SSA                 2     1     
MM                  3     1     
MSF                 4     2     
MF                  5     1     
MTM                 6     1     
2Q1                 7     1     
SIGMA1              8     1     
Q1                  9     1     
RO1                 10    1     
O1                  11    1     
MP1                 12    2     
M1                  13    1     
QUI1                14    1     
PI1                 15    1     
P1                  16    1     
S1                  17    1     
K1                  18    1     
PSI1                19    1     
FI1                 20    1     
TETA1               21    1     
J1                  22    1     
2PO1                23    2     
SO1                 24    2     
OO1                 25    1     
KQ1                 26    2     
2MN2S2              27    2     
2NS2                28    2     
3M2S2               29    2     
OQ2                 30    2     
MNS2                31    3     
MNK2S2              32    4     
2N2                 33    1     
MU2                 34    1     
2NUM2               35    2     
SNK2                36    3     
N2                  37    1     
NU2                 38    1     
2KN2S2              39    3     
OP2                 40    2     
MTS2                41    3     
M2                  42    1     
MST2                43    3     
MKS2                44    3     
LAMBD2              45    1     
L2                  46    1     
2SK2                47    2     
T2                  48    1     
S2                  49    1     
R2                  50    1     
K2                  51    1     
MSN2                52    3     
K1J2                53    3     
2SM2                54    2     
2MS2N2              55    3     
2SN2                56    2     
SKN2                57    3     
NO3                 58    2     
MO3                 59    2     
2MP3                60    2     
SQ3                 61    2     
M3                  62    1     
SO3                 63    2     
MK3                 64    2     
2MQ3                65    2     
SP3                 66    2     
S3                  67    2     
SK3                 68    2     
N4                  69    1     
3MS4                70    2     
MSNK4               71    4     
MN4                 72    2     
MNU4                73    2     
2MSK4               74    3     
2MTS4               75    3     
M4                  76    1     
2MST4               77    3     
2MKS4               78    3     
2MKT4               79    3     
SN4                 80    2     
3MN4                81    2     
MS4                 82    2     
MK4                 83    2     
SL4                 84    2     
S4                  85    1     
SK4                 86    2     
MNO5                87    3     
2MO5                88    2     
MNK5                89    3     
2MK5                90    2     
MSM5                91    3     
MSK5                92    3     
S5                  93    2     
2M2NS6              94    3     
3MNS6               95    3     
2NM6                96    2     
4MS6                97    2     
2MSNK6              98    4     
2MN6                99    2     
2MNU6               100   2     
3MSK6               101   3     
M6                  102   1     
MSN6                103   3     
4MN6                104   2     
MKNU6               105   3     
2M2SK6              106   3     
2MS6                107   2     
2MK6                108   2     
3MSN6               109   3     
MKL6                110   3     
2SM6                111   2     
MSK6                112   3     
3MNOS7              113   4     
2NMO7               114   3     
4MOS7               115   3     
2MNO7               116   3     
3MNKS7              117   4     
3MO7                118   2     
MSNO7               119   4     
2MNK7               120   3     
2MSO7               121   3     
3MK7                122   2     
3MKKS7              123   2     
MSNK7               124   4     
2MSP7               125   3     
2MSK7               126   3     
2MKK7               127   3     
3MSKN7              128   4     
2SMK7               129   3     
2M2N8               130   2     
3MN8                131   2     
M8                  132   1     
2MSN8               133   3     
2MNK8               134   3     
3MS8                135   2     
3MK8                136   2     
MSNK8               137   4     
2M2S8               138   2     
2MSK8               139   3     
3SN8                140   2     
3SM8                141   2     
S8                  142   1     
2M2NO9              143   3     
3MNO9               144   3     
4MO9                145   2     
3MNK9               146   3     
3MSO9               147   3     
4MK9                148   3     
2M2SO9              149   3     
3MSK9               150   3     
2M2SK9              151   3     
4SK9                152   2     
4MN10               153   2     
M10                 154   1     
3MSN10              155   1     
4MS10               156   2     
2M2SN10             157   3     
2MNSK10             158   4     
3M2S10              159   2     
3MSK10              160   3     
4MNO11              161   3     
5MO11               162   2     
4MNP11              163   3     
4MNK11              164   3     
4MSO11              165   3     
SMK11               166   3     
3M2SO11             167   3     
4MSK11              168   3     
3M2SK11             169   3     
5SK11               170   2     
5MN12               171   2     
M12                 172   1     
4MSN12              173   3     
5MS12               174   2     
3MNKS12             175   4     
4M2S12              176   2     
