ESTAÇÃO	CONSTANTE	            H	          GR	REFERENCIADA
30725      Q1                  1.76         104.60       S
30725      SA                  8.69         72.07        S
30725      S1                  1.47         212.32       S
30725      K1J2                0.65         306.08       S
30725      LAMBD2              0.58         101.46       S
30725      MTS2                0.94         16.76        S
30725      MU2                 2.90         88.86        S
30725      MNS2                0.60         71.37        S
10520      2M2N8               0.59         296.86       S
10520      2M2S8               0.67         25.86        S
10520      2MK5                1.42         36.92        N
10520      2MK6                1.20         106.37       S
10520      2MKS4               0.90         6.97         S
10520      2MN6                3.33         64.95        S
10520      2MNK8               0.71         319.43       S
10520      2MNO7               0.54         239.79       S
10520      2MNSK10             0.57         201.54       S
10520      2MNU6               0.74         49.71        S
10520      2MO5                1.46         14.35        S
10520      2MP3                0.78         236.70       S
10520      2MS2N2              1.37         34.75        S
10520      2MS6                4.88         104.10       S
10520      2MSK4               0.74         220.52       S
10520      2MSK7               0.62         311.36       S
10520      2MSN8               0.77         333.40       S
10520      2MSO7               0.71         286.11       S
10520      2MST4               1.16         351.88       S
10520      2MTS4               1.33         232.01       S
10520      2N2                 4.17         290.30       S
10520      2NM6                1.10         32.08        S
10520      2NS2                0.82         80.78        S
10520      2SK2                1.04         13.07        S
10520      2SM2                3.30         193.10       S
10520      2SM6                1.24         164.27       S
10520      3M2S10              0.60         237.82       S
10520      3M2S2               1.12         206.18       S
10520      3MK7                0.63         300.64       S
10520      3MN4                1.53         80.34        S
10520      3MN8                1.68         313.75       S
10520      3MNKS12             0.51         84.02        S
10520      3MO7                0.93         250.53       S
10520      3MS8                1.87         354.16       S
10520      3MSN10              0.82         185.09       S
10520      3MSN6               1.17         266.71       S
10520      3MSO9               0.51         131.72       S
10520      4MN10               1.17         162.17       S
10520      4MN6                1.13         253.82       S
10520      4MO9                0.58         115.35       S
10520      4MS10               1.23         203.09       S
10520      4MS6                0.60         67.80        S
10520      4MSN12              0.66         74.79        S
10520      5MN12               0.59         29.12        S
10520      5MS12               0.73         85.93        S
10520      K1                  9.68         317.00       S
10520      K2                  9.32         10.29        S
10520      K1J2                0.76         329.18       S
10520      L2                  6.60         331.26       S
10520      LAMBD2              3.92         325.69       S
10520      M1                  1.54         137.92       S
10520      M10                 0.83         175.56       S
10520      M2                  116.41       334.26       S
10520      M3                  1.06         187.51       S
10520      M4                  12.11        255.01       S
10520      M6                  5.39         73.79        S
10520      M8                  1.72         328.41       S
10520      MK3                 3.79         209.03       S
10520      MK4                 1.81         283.71       S
10520      MKS2                2.71         114.01       S
10520      MM                  3.80         9.21         S
10520      MN4                 5.27         240.77       S
10520      MNK2S2              0.73         195.67       S
10520      MNK5                0.60         70.12        S
10520      MNO5                0.72         0.34         S
10520      MNU4                1.27         235.93       S
10520      MO3                 4.11         176.65       S
10520      MP1                 1.70         64.93        S
10520      MS4                 7.21         281.20       S
10520      MSF                 8.50         39.02        S
10520      MSK5                0.94         97.00        S
10520      MSK6                0.77         158.74       S
10520      MSM5                0.79         195.49       S
10520      MSN2                2.59         190.54       S
10520      MSN6                1.56         104.66       S
10520      MST2                1.63         128.37       S
10520      MTS2                2.29         320.51       S
10520      MU2                 5.75         52.77        S
10520      N2                  21.90        322.87       S
10520      N4                  1.10         216.15       S
10520      NO3                 1.41         159.48       S
